step,hours,val_loss,train_loss_epoch,train_loss_step,lr-AdamW,epoch,gradient_2norm
28,0.0001,,,1.21496,1.12e-05,0,0.96219
57,0.0026,,,1.00781,2.28e-05,0,0.53678
86,0.0051,,,0.947888,3.44e-05,0,0.443274
115,0.0076,,,0.864897,4.6e-05,0,0.381187
144,0.0101,,,0.734757,5.76e-05,0,0.553848
173,0.0126,,,0.630968,6.92e-05,0,1.09781
202,0.0151,,,0.548721,8.08e-05,0,1.28018
231,0.0176,,,0.496217,9.24e-05,0,0.367383
260,0.0201,,,0.481632,0.000104,0,0.479169
289,0.0226,,,0.434766,0.0001156,0,0.4641
318,0.0251,,,0.417176,0.0001272,0,0.365323
347,0.0276,,,0.38734,0.0001388,0,0.299277
376,0.0300,,,0.412471,0.0001504,0,0.324409
405,0.0325,,,0.410239,0.000162,0,0.652204
434,0.0350,,,0.352934,0.0001736,0,0.452238
453,0.0415,0.358431,0.636577,,,0,
463,0.0427,,,0.35603,0.0001852,1,0.339703
492,0.0452,,,0.366843,0.0001968,1,0.402069
521,0.0477,,,0.37134,0.0002084,1,0.541935
550,0.0502,,,0.33762,0.00022,1,0.620215
579,0.0526,,,0.368565,0.0002316,1,0.528877
608,0.0551,,,0.35786,0.0002432,1,0.304706
637,0.0576,,,0.330041,0.0002548,1,0.461006
666,0.0601,,,0.338633,0.0002664,1,0.389205
695,0.0626,,,0.344525,0.000278,1,0.388566
724,0.0650,,,0.333933,0.0002896,1,0.41798
753,0.0675,,,0.349489,0.0003012,1,0.470756
782,0.0700,,,0.367473,0.0003128,1,0.489117
811,0.0724,,,0.334451,0.0003244,1,0.401709
840,0.0750,,,0.33446,0.000336,1,0.379102
869,0.0774,,,0.325973,0.0003476,1,0.295292
898,0.0799,,,0.331212,0.0003592,1,0.311009
907,0.0856,0.323846,0.345345,,,1,
927,0.0877,,,0.327845,0.0003708,2,0.337107
956,0.0902,,,0.31698,0.0003824,2,0.242427
985,0.0928,,,0.326405,0.000394,2,0.34821
1014,0.0954,,,0.33121,0.000399999,2,0.44642
1043,0.0979,,,0.325863,0.000399988,2,0.355568
1072,0.1003,,,0.323035,0.000399968,2,0.30208
1101,0.1028,,,0.336743,0.000399937,2,0.309831
1130,0.1053,,,0.305898,0.000399895,2,0.28635
1159,0.1077,,,0.315169,0.000399843,2,0.206023
1188,0.1102,,,0.304167,0.00039978,2,0.280838
1217,0.1127,,,0.317797,0.000399707,2,0.235164
1246,0.1152,,,0.309753,0.000399624,2,0.284463
1275,0.1176,,,0.323835,0.00039953,2,0.315977
1304,0.1201,,,0.311167,0.000399426,2,0.233742
1333,0.1226,,,0.324665,0.000399311,2,0.313499
1361,0.1298,0.306563,0.320437,,,2,
1362,0.1303,,,0.306863,0.000399186,3,0.243172
1391,0.1328,,,0.318598,0.00039905,3,0.252526
1420,0.1352,,,0.31329,0.000398904,3,0.210089
1449,0.1377,,,0.298113,0.000398748,3,0.311787
1478,0.1402,,,0.32124,0.000398581,3,0.29412
1507,0.1426,,,0.30912,0.000398404,3,0.259623
1536,0.1451,,,0.305518,0.000398217,3,0.248266
1565,0.1476,,,0.315865,0.000398019,3,0.330709
1594,0.1500,,,0.319182,0.000397811,3,0.233524
1623,0.1525,,,0.300375,0.000397592,3,0.255124
1652,0.1550,,,0.311208,0.000397363,3,0.313614
1681,0.1575,,,0.30417,0.000397124,3,0.2207
1710,0.1599,,,0.303661,0.000396874,3,0.245589
1739,0.1624,,,0.301103,0.000396615,3,0.201211
1768,0.1649,,,0.313378,0.000396344,3,0.256293
1797,0.1673,,,0.317942,0.000396064,3,0.186005
1815,0.1738,0.30282,0.31059,,,3,
1826,0.1750,,,0.325205,0.000395773,4,0.267863
1855,0.1775,,,0.305267,0.000395473,4,0.194168
1884,0.1800,,,0.297776,0.000395162,4,0.193024
1913,0.1824,,,0.307837,0.00039484,4,0.220903
1942,0.1849,,,0.305318,0.000394509,4,0.275398
1971,0.1874,,,0.301371,0.000394167,4,0.238975
2000,0.1898,,,0.309758,0.000393815,4,0.189062
2029,0.1923,,,0.289878,0.000393454,4,0.198492
2058,0.1948,,,0.293317,0.000393082,4,0.281283
2087,0.1973,,,0.3174,0.000392699,4,0.193457
2116,0.1997,,,0.301567,0.000392307,4,0.224456
2145,0.2022,,,0.305894,0.000391905,4,0.267901
2174,0.2047,,,0.31108,0.000391493,4,0.148804
2203,0.2072,,,0.293962,0.00039107,4,0.196132
2232,0.2096,,,0.302652,0.000390638,4,0.266261
2261,0.2121,,,0.29304,0.000390196,4,0.204685
2269,0.2177,0.29924,0.305507,,,4,
2290,0.2198,,,0.29311,0.000389744,5,0.303195
2319,0.2223,,,0.290726,0.000389282,5,0.244803
2348,0.2248,,,0.31813,0.00038881,5,0.260981
2377,0.2272,,,0.307602,0.000388328,5,0.276136
2406,0.2297,,,0.292218,0.000387836,5,0.17961
2435,0.2321,,,0.304163,0.000387334,5,0.305153
2464,0.2346,,,0.294122,0.000386823,5,0.236361
2493,0.2371,,,0.288551,0.000386302,5,0.180199
2522,0.2395,,,0.30639,0.000385771,5,0.25567
2551,0.2420,,,0.289271,0.000385231,5,0.230034
2580,0.2445,,,0.299566,0.00038468,5,0.16791
2609,0.2470,,,0.311348,0.00038412,5,0.212391
