step,hours,val_loss,train_loss_epoch,train_loss_step,lr-AdamW,epoch,gradient_2norm
3015,0.1886,,,0.343674,4.99537e-05,6,0.33828
3044,0.1902,,,0.332849,4.99524e-05,6,0.263891
3073,0.1918,,,0.332622,4.9951e-05,6,0.319601
3102,0.1934,,,0.309392,4.99496e-05,6,0.544869
3131,0.1950,,,0.344689,4.99482e-05,6,0.201308
3160,0.1966,,,0.296375,4.99468e-05,6,0.491058
3177,0.2009,0.311824,0.321135,,,6,
3189,0.2019,,,0.339876,4.99454e-05,7,0.275064
3218,0.2035,,,0.307038,4.99439e-05,7,0.224562
3247,0.2052,,,0.304394,4.99424e-05,7,0.348158
3276,0.2068,,,0.311063,4.99409e-05,7,0.223342
3305,0.2084,,,0.32444,4.99394e-05,7,0.27488
3334,0.2100,,,0.313261,4.99379e-05,7,0.468399
3363,0.2116,,,0.316386,4.99363e-05,7,0.254626
3392,0.2132,,,0.31563,4.99348e-05,7,0.230665
3421,0.2148,,,0.334159,4.99332e-05,7,0.402556
3450,0.2164,,,0.347751,4.99316e-05,7,0.517982
3479,0.2181,,,0.305622,4.99299e-05,7,0.279553
3508,0.2197,,,0.321947,4.99283e-05,7,0.344704
3537,0.2213,,,0.312175,4.99266e-05,7,0.624141
3566,0.2229,,,0.315789,4.99249e-05,7,0.452339
3595,0.2245,,,0.29887,4.99232e-05,7,0.484446
3624,0.2261,,,0.291667,4.99215e-05,7,0.24685
3631,0.2299,0.309454,0.316422,,,7,
3653,0.2315,,,0.313663,4.99198e-05,8,0.223625
3682,0.2331,,,0.315496,4.9918e-05,8,0.274195
3711,0.2347,,,0.32698,4.99162e-05,8,0.684629
3740,0.2363,,,0.315795,4.99144e-05,8,0.238248
3769,0.2379,,,0.326703,4.99126e-05,8,0.288729
3798,0.2395,,,0.328928,4.99108e-05,8,0.230989
3827,0.2411,,,0.300234,4.99089e-05,8,0.440948
3856,0.2427,,,0.304459,4.9907e-05,8,0.233371
3885,0.2444,,,0.306399,4.99051e-05,8,0.295748
3914,0.2460,,,0.314939,4.99032e-05,8,0.568473
3943,0.2476,,,0.308112,4.99013e-05,8,0.487577
3972,0.2492,,,0.304245,4.98993e-05,8,0.343044
4001,0.2508,,,0.326149,4.98973e-05,8,0.502413
4030,0.2524,,,0.331896,4.98954e-05,8,0.280443
4059,0.2540,,,0.346051,4.98933e-05,8,0.449361
4085,0.2588,0.30618,0.313223,,,8,
4088,0.2594,,,0.31918,4.98913e-05,9,0.393351
4117,0.2610,,,0.30497,4.98893e-05,9,0.276561
4146,0.2626,,,0.300191,4.98872e-05,9,0.418653
4175,0.2642,,,0.309666,4.98851e-05,9,0.532506
4204,0.2658,,,0.293703,4.9883e-05,9,0.424574
4233,0.2674,,,0.312866,4.98809e-05,9,0.210195
4262,0.2691,,,0.313028,4.98787e-05,9,0.297996
4291,0.2707,,,0.320006,4.98766e-05,9,0.277039
4320,0.2723,,,0.306884,4.98744e-05,9,0.254838
4349,0.2739,,,0.311457,4.98722e-05,9,0.304017
4378,0.2755,,,0.32208,4.987e-05,9,0.684421
4407,0.2771,,,0.340126,4.98677e-05,9,0.566525
4436,0.2787,,,0.311996,4.98655e-05,9,0.294143
4465,0.2804,,,0.332794,4.98632e-05,9,0.287917
4494,0.2820,,,0.295222,4.98609e-05,9,0.419139
4523,0.2836,,,0.306836,4.98586e-05,9,0.311414
4539,0.2878,0.303336,0.310259,,,9,
4552,0.2890,,,0.297282,4.98562e-05,10,0.291673
4581,0.2906,,,0.315091,4.98539e-05,10,0.372697
4610,0.2923,,,0.302375,4.98515e-05,10,0.356685
4639,0.2939,,,0.325056,4.98491e-05,10,0.544759
4668,0.2955,,,0.303713,4.98467e-05,10,0.492562
4697,0.2972,,,0.303412,4.98443e-05,10,0.309595
4726,0.2988,,,0.299952,4.98418e-05,10,0.302783
4755,0.3005,,,0.31263,4.98393e-05,10,0.381361
4784,0.3022,,,0.296246,4.98369e-05,10,0.495915
4813,0.3038,,,0.293792,4.98343e-05,10,0.315162
4842,0.3055,,,0.334661,4.98318e-05,10,0.387817
4871,0.3071,,,0.319818,4.98293e-05,10,0.338435
4900,0.3087,,,0.299469,4.98267e-05,10,0.471296
4929,0.3103,,,0.32435,4.98241e-05,10,0.408889
4958,0.3120,,,0.312663,4.98215e-05,10,0.323967
4987,0.3135,,,0.317993,4.98189e-05,10,0.303931
4993,0.3173,0.300651,0.307875,,,10,
5016,0.3189,,,0.306599,4.98163e-05,11,0.549004
5045,0.3205,,,0.299902,4.98136e-05,11,0.421013
5074,0.3221,,,0.295535,4.98109e-05,11,0.338896
5103,0.3237,,,0.307383,4.98082e-05,11,0.613377
5132,0.3253,,,0.287824,4.98055e-05,11,0.318669
5161,0.3270,,,0.300649,4.98028e-05,11,0.270345
5190,0.3286,,,0.322213,4.98e-05,11,0.274138
5219,0.3302,,,0.313819,4.97972e-05,11,0.342533
5248,0.3318,,,0.313468,4.97944e-05,11,0.363678
5277,0.3334,,,0.298281,4.97916e-05,11,0.373757
5306,0.3350,,,0.309556,4.97888e-05,11,0.261966
5335,0.3366,,,0.320495,4.9786e-05,11,0.595401
5364,0.3382,,,0.314779,4.97831e-05,11,0.328201
5393,0.3399,,,0.282623,4.97802e-05,11,0.224777
5422,0.3415,,,0.29994,4.97773e-05,11,0.229538
5447,0.3462,0.299093,0.305761,,,11,
5451,0.3468,,,0.2982,4.97744e-05,12,0.247119
5480,0.3484,,,0.313902,4.97714e-05,12,0.369288
5509,0.3500,,,0.293894,4.97685e-05,12,0.418423
5538,0.3516,,,0.288062,4.97655e-05,12,0.476677
5567,0.3532,,,0.310229,4.97625e-05,12,0.237231
5596,0.3549,,,0.302622,4.97594e-05,12,0.339566
5625,0.3565,,,0.315018,4.97564e-05,12,0.296807
5654,0.3581,,,0.312054,4.97534e-05,12,0.379314
5683,0.3597,,,0.312118,4.97503e-05,12,0.541268
5712,0.3613,,,0.308438,4.97472e-05,12,0.316741
5741,0.3629,,,0.305192,4.97441e-05,12,0.322784
5770,0.3645,,,0.29402,4.97409e-05,12,0.295665
5799,0.3662,,,0.281368,4.97378e-05,12,0.248042
5828,0.3678,,,0.311837,4.97346e-05,12,0.599876
5857,0.3694,,,0.311842,4.97314e-05,12,0.547048
5886,0.3710,,,0.286178,4.97282e-05,12,0.300604
5901,0.3752,0.297102,0.30361,,,12,
5915,0.3764,,,0.30817,4.9725e-05,13,0.44512
5944,0.3780,,,0.31331,4.97217e-05,13,0.299062
5973,0.3796,,,0.325982,4.97184e-05,13,0.337656
6002,0.3812,,,0.318221,4.97152e-05,13,0.305722
6031,0.3828,,,0.31528,4.97119e-05,13,0.441704
6060,0.3845,,,0.271053,4.97085e-05,13,0.282217
6089,0.3861,,,0.287197,4.97052e-05,13,0.419446
6118,0.3877,,,0.29092,4.97018e-05,13,0.288097
6147,0.3893,,,0.288601,4.96984e-05,13,0.388373
6176,0.3909,,,0.296095,4.9695e-05,13,0.281977
6205,0.3926,,,0.300725,4.96916e-05,13,0.339894
6234,0.3942,,,0.310877,4.96882e-05,13,0.294026
6263,0.3958,,,0.299976,4.96847e-05,13,0.223592
6292,0.3974,,,0.301338,4.96812e-05,13,0.283367
6321,0.3990,,,0.296224,4.96778e-05,13,0.322436
6350,0.4006,,,0.283726,4.96742e-05,13,0.537077
6355,0.4043,0.296037,0.30179,,,13,
6379,0.4060,,,0.289744,4.96707e-05,14,0.230946
6408,0.4076,,,0.321501,4.96671e-05,14,0.249784
6437,0.4092,,,0.295683,4.96636e-05,14,0.47924
6466,0.4108,,,0.28948,4.966e-05,14,0.287687
6495,0.4124,,,0.287672,4.96564e-05,14,0.491141
6524,0.4141,,,0.280515,4.96528e-05,14,0.342963
6553,0.4157,,,0.300832,4.96491e-05,14,0.285129
6582,0.4173,,,0.295579,4.96454e-05,14,0.399768
6611,0.4189,,,0.293367,4.96418e-05,14,0.313014
6640,0.4205,,,0.28623,4.9638e-05,14,0.422725
6669,0.4221,,,0.298087,4.96343e-05,14,0.339925
6698,0.4237,,,0.29158,4.96306e-05,14,0.261121
6727,0.4253,,,0.290544,4.96268e-05,14,0.285393
6756,0.4270,,,0.29375,4.9623e-05,14,0.350311
6785,0.4286,,,0.290321,4.96192e-05,14,0.397614
6809,0.4333,0.293349,0.299698,,,14,
6814,0.4339,,,0.310138,4.96154e-05,15,0.467402
6843,0.4356,,,0.308923,4.96116e-05,15,0.268371
6872,0.4372,,,0.309632,4.96077e-05,15,0.415212
6901,0.4388,,,0.295637,4.96039e-05,15,0.406501
6930,0.4404,,,0.297605,4.96e-05,15,0.449596
6959,0.4421,,,0.291333,4.95961e-05,15,0.212841
6988,0.4437,,,0.27629,4.95921e-05,15,0.459048
7017,0.4453,,,0.281366,4.95882e-05,15,0.264537
7046,0.4469,,,0.295975,4.95842e-05,15,0.240773
7075,0.4485,,,0.284292,4.95802e-05,15,0.298069
7104,0.4502,,,0.294589,4.95762e-05,15,0.291883
7133,0.4518,,,0.30754,4.95722e-05,15,0.413712
7162,0.4534,,,0.310718,4.95682e-05,15,0.377874
7191,0.4550,,,0.297032,4.95641e-05,15,0.418014
7220,0.4567,,,0.291853,4.956e-05,15,0.446934
7249,0.4583,,,0.308148,4.95559e-05,15,0.348919
7263,0.4624,0.292293,0.298066,,,15,
7278,0.4636,,,0.306011,4.95518e-05,16,0.282262
7307,0.4652,,,0.299153,4.95476e-05,16,0.319691
7336,0.4669,,,0.297292,4.95435e-05,16,0.30664
7365,0.4685,,,0.314894,4.95393e-05,16,0.307112
7394,0.4701,,,0.296214,4.95351e-05,16,0.411774
7423,0.4717,,,0.291733,4.95309e-05,16,0.365629
7452,0.4733,,,0.275412,4.95267e-05,16,0.283345
7481,0.4750,,,0.301617,4.95224e-05,16,0.426415
7510,0.4766,,,0.29106,4.95182e-05,16,0.280558
7539,0.4782,,,0.295388,4.95139e-05,16,0.370174
7568,0.4798,,,0.279948,4.95096e-05,16,0.262208
7597,0.4815,,,0.304012,4.95052e-05,16,0.279741
7626,0.4831,,,0.27478,4.95009e-05,16,0.419029
7655,0.4847,,,0.303626,4.94965e-05,16,0.382856
7684,0.4863,,,0.310632,4.94921e-05,16,0.343796
7713,0.4879,,,0.302748,4.94877e-05,16,0.262044
7717,0.4916,0.290495,0.296373,,,16,
7742,0.4933,,,0.27816,4.94833e-05,17,0.397181
7771,0.4949,,,0.293524,4.94789e-05,17,0.383894
7800,0.4966,,,0.317888,4.94744e-05,17,0.454927
7829,0.4982,,,0.283417,4.94699e-05,17,0.364001
7858,0.4999,,,0.29388,4.94655e-05,17,0.389083
7887,0.5017,,,0.278619,4.94609e-05,17,0.308387
7916,0.5034,,,0.299553,4.94564e-05,17,0.345724
7945,0.5050,,,0.294152,4.94519e-05,17,0.222479
7974,0.5066,,,0.289187,4.94473e-05,17,0.346706
8003,0.5082,,,0.296178,4.94427e-05,17,0.307329
8032,0.5099,,,0.302841,4.94381e-05,17,0.616891
8061,0.5115,,,0.282639,4.94335e-05,17,0.323596
8090,0.5131,,,0.315198,4.94288e-05,17,0.333226
8119,0.5147,,,0.291036,4.94242e-05,17,0.342304
8148,0.5163,,,0.290946,4.94195e-05,17,0.379892
8171,0.5210,0.289065,0.294458,,,17,
8177,0.5217,,,0.278053,4.94148e-05,18,0.361509
8206,0.5233,,,0.28854,4.941e-05,18,0.410006
8235,0.5249,,,0.311106,4.94053e-05,18,0.267441
8264,0.5265,,,0.325625,4.94006e-05,18,0.366869
8293,0.5281,,,0.296221,4.93958e-05,18,0.272092
8322,0.5297,,,0.301096,4.9391e-05,18,0.404117
8351,0.5313,,,0.297207,4.93862e-05,18,0.230014
8380,0.5330,,,0.299855,4.93813e-05,18,0.394317
8409,0.5346,,,0.304213,4.93765e-05,18,0.299762
8438,0.5362,,,0.285963,4.93716e-05,18,0.229943
8467,0.5378,,,0.283561,4.93667e-05,18,0.206812
8496,0.5394,,,0.279042,4.93618e-05,18,0.258256
8525,0.5410,,,0.281789,4.93569e-05,18,0.486793
8554,0.5426,,,0.295127,4.93519e-05,18,0.300848
8583,0.5443,,,0.300983,4.9347e-05,18,0.347616
8612,0.5459,,,0.286984,4.9342e-05,18,0.260343
8625,0.5500,0.287573,0.292717,,,18,
8641,0.5512,,,0.26687,4.9337e-05,19,0.397396
8670,0.5528,,,0.268599,4.9332e-05,19,0.264377
8699,0.5544,,,0.284131,4.93269e-05,19,0.326318
8728,0.5561,,,0.273026,4.93219e-05,19,0.352509
8757,0.5577,,,0.276825,4.93168e-05,19,0.360341
8786,0.5593,,,0.285708,4.93117e-05,19,0.520702
8815,0.5609,,,0.282192,4.93066e-05,19,0.199396
8844,0.5625,,,0.279223,4.93015e-05,19,0.401755
8873,0.5641,,,0.284686,4.92963e-05,19,0.421101
8902,0.5657,,,0.279059,4.92911e-05,19,0.398543
8931,0.5674,,,0.296426,4.9286e-05,19,0.282059
8960,0.5690,,,0.30303,4.92808e-05,19,0.349261
8989,0.5706,,,0.295432,4.92755e-05,19,0.400543
9018,0.5722,,,0.292706,4.92703e-05,19,0.386208
9047,0.5738,,,0.286441,4.9265e-05,19,0.317889
9076,0.5754,,,0.302224,4.92597e-05,19,0.340155
9079,0.5790,0.286999,0.291466,,,19,
9105,0.5807,,,0.285567,4.92544e-05,20,0.196541
9134,0.5824,,,0.289357,4.92491e-05,20,0.382606
9163,0.5840,,,0.282486,4.92438e-05,20,0.470309
9192,0.5856,,,0.287793,4.92384e-05,20,0.289271
9221,0.5872,,,0.297905,4.92331e-05,20,0.344902
9250,0.5888,,,0.282508,4.92277e-05,20,0.414188
9279,0.5904,,,0.301609,4.92223e-05,20,0.367718
9308,0.5920,,,0.305084,4.92168e-05,20,0.397875
9337,0.5937,,,0.303187,4.92114e-05,20,0.385139
9366,0.5953,,,0.278736,4.92059e-05,20,0.334789
9395,0.5969,,,0.291379,4.92004e-05,20,0.352476
9424,0.5985,,,0.291555,4.91949e-05,20,0.261678
9453,0.6001,,,0.281956,4.91894e-05,20,0.306534
9482,0.6017,,,0.294892,4.91839e-05,20,0.324532
9511,0.6033,,,0.303134,4.91783e-05,20,0.286075
9533,0.6079,0.284387,0.28984,,,20,
9540,0.6087,,,0.281584,4.91727e-05,21,0.305324
9569,0.6103,,,0.287668,4.91671e-05,21,0.335682
9598,0.6119,,,0.286879,4.91615e-05,21,0.245516
9627,0.6135,,,0.308117,4.91559e-05,21,0.331071
9656,0.6151,,,0.276179,4.91502e-05,21,0.299353
9685,0.6168,,,0.282294,4.91446e-05,21,0.472345
9714,0.6184,,,0.303827,4.91389e-05,21,0.355346
9743,0.6200,,,0.281243,4.91332e-05,21,0.296052
9772,0.6216,,,0.269624,4.91274e-05,21,0.364738
9801,0.6232,,,0.273904,4.91217e-05,21,0.220043
9830,0.6248,,,0.291255,4.91159e-05,21,0.274494
9859,0.6265,,,0.284819,4.91101e-05,21,0.353387
9888,0.6281,,,0.278161,4.91043e-05,21,0.264112
9917,0.6297,,,0.274493,4.90985e-05,21,0.463596
9946,0.6313,,,0.277609,4.90927e-05,21,0.410135
9975,0.6329,,,0.284947,4.90868e-05,21,0.367802
9987,0.6370,0.283986,0.288501,,,21,
10004,0.6382,,,0.284573,4.9081e-05,22,0.386959
10033,0.6399,,,0.29702,4.90751e-05,22,0.260081
10062,0.6415,,,0.285218,4.90692e-05,22,0.353997
10091,0.6431,,,0.286557,4.90632e-05,22,0.259883
10120,0.6447,,,0.270873,4.90573e-05,22,0.397469
10149,0.6463,,,0.286133,4.90513e-05,22,0.341529
10178,0.6479,,,0.293504,4.90453e-05,22,0.247659
10207,0.6496,,,0.311774,4.90393e-05,22,0.412872
10236,0.6512,,,0.275313,4.90333e-05,22,0.280738
10265,0.6528,,,0.292265,4.90273e-05,22,0.385634
10294,0.6544,,,0.28349,4.90212e-05,22,0.421247
10323,0.6560,,,0.303262,4.90151e-05,22,0.234489
10352,0.6576,,,0.262172,4.9009e-05,22,0.339527
10381,0.6593,,,0.275649,4.90029e-05,22,0.327024
10410,0.6609,,,0.280988,4.89968e-05,22,0.336453
10439,0.6624,,,0.290172,4.89906e-05,22,0.371543
10441,0.6660,0.284245,0.287302,,,22,
10468,0.6679,,,0.310414,4.89845e-05,23,0.352638
10497,0.6695,,,0.2928,4.89783e-05,23,0.449756
10526,0.6711,,,0.284126,4.89721e-05,23,0.442028
10555,0.6727,,,0.305506,4.89658e-05,23,0.370852
10584,0.6744,,,0.288137,4.89596e-05,23,0.386705
10613,0.6760,,,0.306906,4.89533e-05,23,0.386795
10642,0.6776,,,0.287584,4.89471e-05,23,0.266711
10671,0.6792,,,0.291792,4.89408e-05,23,0.352528
10700,0.6808,,,0.294883,4.89344e-05,23,0.348893
10729,0.6825,,,0.289574,4.89281e-05,23,0.33105
