tag,step,value
val_RMSE/d2m,67191,0.794485
val_RMSE/d2m,67645,0.702285
val_RMSE/d2m,68099,1.57966
val_RMSE/d2m,68553,1.32779
val_RMSE/d2m,69007,0.901047
val_RMSE/d2m,69461,1.01862
val_RMSE/d2m,69915,0.776903
val_RMSE/d2m,70369,1.05554
val_RMSE/d2m,70823,2.40787
val_RMSE/d2m,71277,0.834117
val_RMSE/d2m,71731,0.675902
val_RMSE/d2m,72185,2.59757
val_RMSE/d2m,72639,0.830674
val_RMSE/d2m,73093,0.683464
val_RMSE/d2m,73547,0.699807
val_RMSE/d2m,74001,11.5164
val_RMSE/d2m,74455,0.711108
val_RMSE/d2m,74909,5.52656
val_RMSE/d2m,75363,0.710411
val_RMSE/d2m,75817,0.801181
val_RMSE/d2m,76271,0.67464
val_RMSE/d2m,76725,0.67754
val_RMSE/d2m,77179,0.669765
val_RMSE/d2m,77633,1.46643
val_RMSE/d2m,78087,0.667926
val_RMSE/d2m,78541,5.15051
val_RMSE/d2m,78995,0.71908
val_RMSE/d2m,79449,0.66425
val_RMSE/d2m,79903,0.664528
val_RMSE/d2m,80357,0.689944
val_RMSE/d2m,80811,0.737093
val_RMSE/d2m,81265,0.703844
val_RMSE/d2m,81719,1.17285
val_RMSE/d2m,82173,0.672461
val_RMSE/d2m,82627,0.671252
val_RMSE/d2m,83081,1.02468
val_RMSE/d2m,83535,3.38085
val_RMSE/d2m,83989,2.50021
val_RMSE/d2m,84443,0.667902
val_RMSE/d2m,84897,0.660221
val_RMSE/d2m,85351,1.06007
val_RMSE/d2m,85805,0.660468
val_RMSE/d2m,86259,0.999008
val_RMSE/d2m,86713,0.668168
val_RMSE/d2m,87167,0.661594
val_RMSE/d2m,87621,0.851302
val_RMSE/d2m,88075,0.656991
val_RMSE/d2m,88529,0.683825
val_RMSE/d2m,88983,0.660672
val_RMSE/d2m,89437,0.658296
val_RMSE/d2m,89891,0.660481
val_RMSE/d2m,90345,0.699871
val_RMSE/d2m,90799,0.654147
val_RMSE/d2m,91253,0.66911
val_RMSE/d2m,91707,0.895251
val_RMSE/d2m,92161,0.655331
val_RMSE/d2m,92615,0.654813
val_RMSE/d2m,93069,0.652605
val_RMSE/d2m,93523,0.650545
val_RMSE/d2m,93977,0.672796
val_RMSE/d2m,94431,0.654617
val_RMSE/d2m,94885,0.671663
val_RMSE/d2m,95339,0.661365
val_RMSE/d2m,95793,0.652411
val_RMSE/d2m,96247,0.65722
val_RMSE/d2m,96701,0.64997
val_RMSE/d2m,97155,0.654179
val_RMSE/d2m,97609,0.662246
val_RMSE/d2m,98063,0.649151
val_RMSE/d2m,98517,0.64904
val_RMSE/d2m,98971,0.648468
val_RMSE/d2m,99425,0.648685
val_RMSE/d2m,99879,0.650777
val_RMSE/d2m,100333,0.648465
val_RMSE/d2m,100787,0.648579
val_RMSE/d2m,101241,0.647913
val_RMSE/d2m,101695,0.652507
val_RMSE/d2m,102149,0.648128
val_RMSE/d2m,102603,0.648346
val_RMSE/d2m,103057,0.648012
val_RMSE/d2m,103511,0.648517
val_RMSE/d2m,103965,0.648183
val_RMSE/d2m,104419,0.648022
val_RMSE/d2m,104873,0.64809
val_RMSE/diurnal_cos,453,0.0666367
val_RMSE/diurnal_cos,907,0.049014
val_RMSE/diurnal_cos,1361,0.0373472
val_RMSE/diurnal_cos,1815,0.0370254
val_RMSE/diurnal_cos,2269,0.0326309
val_RMSE/diurnal_cos,2723,0.0445065
val_RMSE/diurnal_cos,3177,0.0327448
